week,n,value,parameter,percentile,paper
18,1401,3.6,BPD,3,araujo2014
19,1785,3.9,BPD,3,araujo2014
20,2008,4.2,BPD,3,araujo2014
21,2135,4.6,BPD,3,araujo2014
22,2115,4.9,BPD,3,araujo2014
23,2070,5.2,BPD,3,araujo2014
24,1927,5.4,BPD,3,araujo2014
25,1732,5.7,BPD,3,araujo2014
26,1648,6.0,BPD,3,araujo2014
27,1592,6.2,BPD,3,araujo2014
28,1517,6.5,BPD,3,araujo2014
29,1466,6.7,BPD,3,araujo2014
30,1431,6.9,BPD,3,araujo2014
31,1306,7.2,BPD,3,araujo2014
32,1285,7.4,BPD,3,araujo2014
33,1276,7.6,BPD,3,araujo2014
34,1230,7.7,BPD,3,araujo2014
35,1234,7.9,BPD,3,araujo2014
36,1025,8.1,BPD,3,araujo2014
37,833,8.2,BPD,3,araujo2014
38,460,8.4,BPD,3,araujo2014
18,1401,3.7,BPD,10,araujo2014
19,1785,4.1,BPD,10,araujo2014
20,2008,4.4,BPD,10,araujo2014
21,2135,4.7,BPD,10,araujo2014
22,2115,5.1,BPD,10,araujo2014
23,2070,5.4,BPD,10,araujo2014
24,1927,5.7,BPD,10,araujo2014
25,1732,6.0,BPD,10,araujo2014
26,1648,6.2,BPD,10,araujo2014
27,1592,6.5,BPD,10,araujo2014
28,1517,6.7,BPD,10,araujo2014
29,1466,7.0,BPD,10,araujo2014
30,1431,7.2,BPD,10,araujo2014
31,1306,7.5,BPD,10,araujo2014
32,1285,7.7,BPD,10,araujo2014
33,1276,7.9,BPD,10,araujo2014
34,1230,8.1,BPD,10,araujo2014
35,1234,8.3,BPD,10,araujo2014
36,1025,8.4,BPD,10,araujo2014
37,833,8.6,BPD,10,araujo2014
38,460,8.7,BPD,10,araujo2014
18,1401,4.0,BPD,50,araujo2014
19,1785,4.4,BPD,50,araujo2014
20,2008,4.7,BPD,50,araujo2014
21,2135,5.1,BPD,50,araujo2014
22,2115,5.4,BPD,50,araujo2014
23,2070,5.7,BPD,50,araujo2014
24,1927,6.0,BPD,50,araujo2014
25,1732,6.3,BPD,50,araujo2014
26,1648,6.6,BPD,50,araujo2014
27,1592,6.9,BPD,50,araujo2014
28,1517,7.2,BPD,50,araujo2014
29,1466,7.4,BPD,50,araujo2014
30,1431,7.7,BPD,50,araujo2014
31,1306,7.9,BPD,50,araujo2014
32,1285,8.1,BPD,50,araujo2014
33,1276,8.3,BPD,50,araujo2014
34,1230,8.5,BPD,50,araujo2014
35,1234,8.7,BPD,50,araujo2014
36,1025,8.9,BPD,50,araujo2014
37,833,9.1,BPD,50,araujo2014
38,460,9.2,BPD,50,araujo2014
18,1401,4.3,BPD,90,araujo2014
19,1785,4.6,BPD,90,araujo2014
20,2008,5.0,BPD,90,araujo2014
21,2135,5.4,BPD,90,araujo2014
22,2115,5.7,BPD,90,araujo2014
23,2070,6.1,BPD,90,araujo2014
24,1927,6.4,BPD,90,araujo2014
25,1732,6.7,BPD,90,araujo2014
26,1648,7.0,BPD,90,araujo2014
27,1592,7.3,BPD,90,araujo2014
28,1517,7.6,BPD,90,araujo2014
29,1466,7.8,BPD,90,araujo2014
30,1431,8.1,BPD,90,araujo2014
31,1306,8.3,BPD,90,araujo2014
32,1285,8.6,BPD,90,araujo2014
33,1276,8.8,BPD,90,araujo2014
34,1230,9.0,BPD,90,araujo2014
35,1234,9.2,BPD,90,araujo2014
36,1025,9.4,BPD,90,araujo2014
37,833,9.6,BPD,90,araujo2014
38,460,9.7,BPD,90,araujo2014
18,1401,4.4,BPD,97,araujo2014
19,1785,4.8,BPD,97,araujo2014
20,2008,5.2,BPD,97,araujo2014
21,2135,5.5,BPD,97,araujo2014
22,2115,5.9,BPD,97,araujo2014
23,2070,6.2,BPD,97,araujo2014
24,1927,6.5,BPD,97,araujo2014
25,1732,6.9,BPD,97,araujo2014
26,1648,7.2,BPD,97,araujo2014
27,1592,7.5,BPD,97,araujo2014
28,1517,7.7,BPD,97,araujo2014
29,1466,8.0,BPD,97,araujo2014
30,1431,8.3,BPD,97,araujo2014
31,1306,8.5,BPD,97,araujo2014
32,1285,8.8,BPD,97,araujo2014
33,1276,9.0,BPD,97,araujo2014
34,1230,9.2,BPD,97,araujo2014
35,1234,9.4,BPD,97,araujo2014
36,1025,9.6,BPD,97,araujo2014
37,833,9.8,BPD,97,araujo2014
38,460,10.0,BPD,97,araujo2014
18,1401,13.3,HC,3,araujo2014
19,1785,14.6,HC,3,araujo2014
20,2008,15.8,HC,3,araujo2014
21,2135,16.7,HC,3,araujo2014
22,2115,18.1,HC,3,araujo2014
23,2070,19.1,HC,3,araujo2014
24,1927,20.2,HC,3,araujo2014
25,1732,21.2,HC,3,araujo2014
26,1648,22.2,HC,3,araujo2014
27,1592,23.1,HC,3,araujo2014
28,1517,23.9,HC,3,araujo2014
29,1466,24.8,HC,3,araujo2014
30,1431,25.5,HC,3,araujo2014
31,1306,26.3,HC,3,araujo2014
32,1285,27.0,HC,3,araujo2014
33,1276,27.6,HC,3,araujo2014
34,1230,28.2,HC,3,araujo2014
35,1234,28.8,HC,3,araujo2014
36,1025,29.3,HC,3,araujo2014
37,833,29.7,HC,3,araujo2014
38,460,30.2,HC,3,araujo2014
18,1401,13.7,HC,10,araujo2014
19,1785,15.0,HC,10,araujo2014
20,2008,16.3,HC,10,araujo2014
21,2135,17.4,HC,10,araujo2014
22,2115,18.6,HC,10,araujo2014
23,2070,19.7,HC,10,araujo2014
24,1927,20.8,HC,10,araujo2014
25,1732,21.8,HC,10,araujo2014
26,1648,22.7,HC,10,araujo2014
27,1592,23.7,HC,10,araujo2014
28,1517,24.6,HC,10,araujo2014
29,1466,25.4,HC,10,araujo2014
30,1431,26.2,HC,10,araujo2014
31,1306,27.0,HC,10,araujo2014
32,1285,27.7,HC,10,araujo2014
33,1276,28.3,HC,10,araujo2014
34,1230,28.9,HC,10,araujo2014
35,1234,29.5,HC,10,araujo2014
36,1025,30.0,HC,10,araujo2014
37,833,30.5,HC,10,araujo2014
38,460,31.0,HC,10,araujo2014
18,1401,14.5,HC,50,araujo2014
19,1785,15.8,HC,50,araujo2014
20,2008,17.1,HC,50,araujo2014
21,2135,18.4,HC,50,araujo2014
22,2115,19.6,HC,50,araujo2014
23,2070,20.7,HC,50,araujo2014
24,1927,21.8,HC,50,araujo2014
25,1732,22.9,HC,50,araujo2014
26,1648,23.9,HC,50,araujo2014
27,1592,24.9,HC,50,araujo2014
28,1517,25.8,HC,50,araujo2014
29,1466,26.7,HC,50,araujo2014
30,1431,27.5,HC,50,araujo2014
31,1306,28.3,HC,50,araujo2014
32,1285,29.0,HC,50,araujo2014
33,1276,29.7,HC,50,araujo2014
34,1230,30.3,HC,50,araujo2014
35,1234,30.9,HC,50,araujo2014
36,1025,31.5,HC,50,araujo2014
37,833,32.0,HC,50,araujo2014
38,460,32.5,HC,50,araujo2014
18,1401,15.3,HC,90,araujo2014
19,1785,16.7,HC,90,araujo2014
20,2008,18.0,HC,90,araujo2014
21,2135,19.3,HC,90,araujo2014
22,2115,20.6,HC,90,araujo2014
23,2070,21.7,HC,90,araujo2014
24,1927,22.9,HC,90,araujo2014
25,1732,24.0,HC,90,araujo2014
26,1648,25.0,HC,90,araujo2014
27,1592,26.1,HC,90,araujo2014
28,1517,27.0,HC,90,araujo2014
29,1466,27.9,HC,90,araujo2014
30,1431,28.8,HC,90,araujo2014
31,1306,29.6,HC,90,araujo2014
32,1285,30.4,HC,90,araujo2014
33,1276,31.1,HC,90,araujo2014
34,1230,31.7,HC,90,araujo2014
35,1234,32.4,HC,90,araujo2014
36,1025,32.9,HC,90,araujo2014
37,833,33.5,HC,90,araujo2014
38,460,33.9,HC,90,araujo2014
18,1401,15.0,HC,97,araujo2014
19,1785,17.1,HC,97,araujo2014
20,2008,18.5,HC,97,araujo2014
21,2135,19.8,HC,97,araujo2014
22,2115,21.0,HC,97,araujo2014
23,2070,22.3,HC,97,araujo2014
24,1927,23.4,HC,97,araujo2014
25,1732,24.6,HC,97,araujo2014
26,1648,25.6,HC,97,araujo2014
27,1592,26.7,HC,97,araujo2014
28,1517,27.6,HC,97,araujo2014
29,1466,28.6,HC,97,araujo2014
30,1431,29.4,HC,97,araujo2014
31,1306,30.3,HC,97,araujo2014
32,1285,31.1,HC,97,araujo2014
33,1276,31.8,HC,97,araujo2014
34,1230,32.5,HC,97,araujo2014
35,1234,33.1,HC,97,araujo2014
36,1025,33.7,HC,97,araujo2014
37,833,34.3,HC,97,araujo2014
38,460,34.8,HC,97,araujo2014
18,1401,11.1,AC,3,araujo2014
19,1785,12.2,AC,3,araujo2014
20,2008,13.2,AC,3,araujo2014
21,2135,14.3,AC,3,araujo2014
22,2115,15.3,AC,3,araujo2014
23,2070,16.3,AC,3,araujo2014
24,1927,17.3,AC,3,araujo2014
25,1732,18.3,AC,3,araujo2014
26,1648,19.2,AC,3,araujo2014
27,1592,20.2,AC,3,araujo2014
28,1517,21.1,AC,3,araujo2014
29,1466,22.0,AC,3,araujo2014
30,1431,22.9,AC,3,araujo2014
31,1306,23.8,AC,3,araujo2014
32,1285,24.7,AC,3,araujo2014
33,1276,25.5,AC,3,araujo2014
34,1230,26.4,AC,3,araujo2014
35,1234,27.2,AC,3,araujo2014
36,1025,28.0,AC,3,araujo2014
37,833,28.8,AC,3,araujo2014
38,460,29.6,AC,3,araujo2014
18,1401,11.6,AC,10,araujo2014
19,1785,12.7,AC,10,araujo2014
20,2008,13.8,AC,10,araujo2014
21,2135,14.9,AC,10,araujo2014
22,2115,15.9,AC,10,araujo2014
23,2070,17.0,AC,10,araujo2014
24,1927,18.0,AC,10,araujo2014
25,1732,19.0,AC,10,araujo2014
26,1648,20.0,AC,10,araujo2014
27,1592,21.0,AC,10,araujo2014
28,1517,21.9,AC,10,araujo2014
29,1466,22.9,AC,10,araujo2014
30,1431,23.8,AC,10,araujo2014
31,1306,24.7,AC,10,araujo2014
32,1285,25.6,AC,10,araujo2014
33,1276,26.5,AC,10,araujo2014
34,1230,27.4,AC,10,araujo2014
35,1234,28.3,AC,10,araujo2014
36,1025,29.1,AC,10,araujo2014
37,833,30.0,AC,10,araujo2014
38,460,30.8,AC,10,araujo2014
18,1401,12.8,AC,50,araujo2014
19,1785,13.9,AC,50,araujo2014
20,2008,15.0,AC,50,araujo2014
21,2135,16.2,AC,50,araujo2014
22,2115,17.3,AC,50,araujo2014
23,2070,18.4,AC,50,araujo2014
24,1927,19.5,AC,50,araujo2014
25,1732,20.5,AC,50,araujo2014
26,1648,21.6,AC,50,araujo2014
27,1592,22.6,AC,50,araujo2014
28,1517,23.7,AC,50,araujo2014
29,1466,24.7,AC,50,araujo2014
30,1431,25.7,AC,50,araujo2014
31,1306,26.7,AC,50,araujo2014
32,1285,27.7,AC,50,araujo2014
33,1276,28.7,AC,50,araujo2014
34,1230,29.7,AC,50,araujo2014
35,1234,30.6,AC,50,araujo2014
36,1025,31.6,AC,50,araujo2014
37,833,32.5,AC,50,araujo2014
38,460,33.4,AC,50,araujo2014
18,1401,13.8,AC,90,araujo2014
19,1785,15.0,AC,90,araujo2014
20,2008,16.2,AC,90,araujo2014
21,2135,17.4,AC,90,araujo2014
22,2115,18.6,AC,90,araujo2014
23,2070,19.7,AC,90,araujo2014
24,1927,20.9,AC,90,araujo2014
25,1732,22.0,AC,90,araujo2014
26,1648,23.1,AC,90,araujo2014
27,1592,24.3,AC,90,araujo2014
28,1517,25.4,AC,90,araujo2014
29,1466,26.5,AC,90,araujo2014
30,1431,27.6,AC,90,araujo2014
31,1306,28.6,AC,90,araujo2014
32,1285,29.7,AC,90,araujo2014
33,1276,30.8,AC,90,araujo2014
34,1230,31.8,AC,90,araujo2014
35,1234,32.9,AC,90,araujo2014
36,1025,33.9,AC,90,araujo2014
37,833,34.9,AC,90,araujo2014
38,460,35.9,AC,90,araujo2014
18,1401,14.4,AC,97,araujo2014
19,1785,15.6,AC,97,araujo2014
20,2008,16.8,AC,97,araujo2014
21,2135,18.0,AC,97,araujo2014
22,2115,19.2,AC,97,araujo2014
23,2070,20.4,AC,97,araujo2014
24,1927,21.6,AC,97,araujo2014
25,1732,22.7,AC,97,araujo2014
26,1648,23.9,AC,97,araujo2014
27,1592,25.0,AC,97,araujo2014
28,1517,26.2,AC,97,araujo2014
29,1466,27.3,AC,97,araujo2014
30,1431,28.4,AC,97,araujo2014
31,1306,29.6,AC,97,araujo2014
32,1285,30.7,AC,97,araujo2014
33,1276,31.8,AC,97,araujo2014
34,1230,32.9,AC,97,araujo2014
35,1234,33.9,AC,97,araujo2014
36,1025,35.0,AC,97,araujo2014
37,833,36.1,AC,97,araujo2014
38,460,37.1,AC,97,araujo2014
18,1401,2.3,FL,3,araujo2014
19,1785,2.6,FL,3,araujo2014
20,2008,2.8,FL,3,araujo2014
21,2135,3.1,FL,3,araujo2014
22,2115,3.4,FL,3,araujo2014
23,2070,3.6,FL,3,araujo2014
24,1927,3.9,FL,3,araujo2014
25,1732,4.1,FL,3,araujo2014
26,1648,4.3,FL,3,araujo2014
27,1592,4.6,FL,3,araujo2014
28,1517,4.8,FL,3,araujo2014
29,1466,5.0,FL,3,araujo2014
30,1431,5.2,FL,3,araujo2014
31,1306,5.4,FL,3,araujo2014
32,1285,5.5,FL,3,araujo2014
33,1276,5.7,FL,3,araujo2014
34,1230,5.9,FL,3,araujo2014
35,1234,6.1,FL,3,araujo2014
36,1025,6.2,FL,3,araujo2014
37,833,6.4,FL,3,araujo2014
38,460,6.5,FL,3,araujo2014
18,1401,2.4,FL,10,araujo2014
19,1785,2.7,FL,10,araujo2014
20,2008,3.0,FL,10,araujo2014
21,2135,3.2,FL,10,araujo2014
22,2115,3.5,FL,10,araujo2014
23,2070,3.7,FL,10,araujo2014
24,1927,4.0,FL,10,araujo2014
25,1732,4.2,FL,10,araujo2014
26,1648,4.5,FL,10,araujo2014
27,1592,4.7,FL,10,araujo2014
28,1517,4.9,FL,10,araujo2014
29,1466,5.1,FL,10,araujo2014
30,1431,5.3,FL,10,araujo2014
31,1306,5.5,FL,10,araujo2014
32,1285,5.7,FL,10,araujo2014
33,1276,5.9,FL,10,araujo2014
34,1230,6.1,FL,10,araujo2014
35,1234,6.2,FL,10,araujo2014
36,1025,6.4,FL,10,araujo2014
37,833,6.5,FL,10,araujo2014
38,460,6.7,FL,10,araujo2014
18,1401,2.7,FL,50,araujo2014
19,1785,3.0,FL,50,araujo2014
20,2008,3.2,FL,50,araujo2014
21,2135,3.5,FL,50,araujo2014
22,2115,3.8,FL,50,araujo2014
23,2070,4.1,FL,50,araujo2014
24,1927,4.3,FL,50,araujo2014
25,1732,4.6,FL,50,araujo2014
26,1648,4.8,FL,50,araujo2014
27,1592,5.0,FL,50,araujo2014
28,1517,5.3,FL,50,araujo2014
29,1466,5.5,FL,50,araujo2014
30,1431,5.7,FL,50,araujo2014
31,1306,5.9,FL,50,araujo2014
32,1285,6.1,FL,50,araujo2014
33,1276,6.3,FL,50,araujo2014
34,1230,6.5,FL,50,araujo2014
35,1234,6.7,FL,50,araujo2014
36,1025,6.8,FL,50,araujo2014
37,833,7.0,FL,50,araujo2014
38,460,7.2,FL,50,araujo2014
18,1401,2.9,FL,90,araujo2014
19,1785,3.2,FL,90,araujo2014
20,2008,3.5,FL,90,araujo2014
21,2135,3.8,FL,90,araujo2014
22,2115,4.1,FL,90,araujo2014
23,2070,4.4,FL,90,araujo2014
24,1927,4.6,FL,90,araujo2014
25,1732,4.9,FL,90,araujo2014
26,1648,5.1,FL,90,araujo2014
27,1592,5.4,FL,90,araujo2014
28,1517,5.6,FL,90,araujo2014
29,1466,5.9,FL,90,araujo2014
30,1431,6.1,FL,90,araujo2014
31,1306,6.3,FL,90,araujo2014
32,1285,6.5,FL,90,araujo2014
33,1276,6.7,FL,90,araujo2014
34,1230,6.9,FL,90,araujo2014
35,1234,7.1,FL,90,araujo2014
36,1025,7.3,FL,90,araujo2014
37,833,7.5,FL,90,araujo2014
38,460,7.7,FL,90,araujo2014
18,1401,3.0,FL,97,araujo2014
19,1785,3.3,FL,97,araujo2014
20,2008,3.6,FL,97,araujo2014
21,2135,3.9,FL,97,araujo2014
22,2115,4.2,FL,97,araujo2014
23,2070,4.5,FL,97,araujo2014
24,1927,4.8,FL,97,araujo2014
25,1732,5.0,FL,97,araujo2014
26,1648,5.3,FL,97,araujo2014
27,1592,5.5,FL,97,araujo2014
28,1517,5.8,FL,97,araujo2014
29,1466,6.0,FL,97,araujo2014
30,1431,6.2,FL,97,araujo2014
31,1306,6.5,FL,97,araujo2014
32,1285,6.7,FL,97,araujo2014
33,1276,6.9,FL,97,araujo2014
34,1230,7.1,FL,97,araujo2014
35,1234,7.3,FL,97,araujo2014
36,1025,7.5,FL,97,araujo2014
37,833,7.6,FL,97,araujo2014
38,460,7.8,FL,97,araujo2014
14,67(3.6),2.2,BPD,5,barriosprieto2013
15,36(1.9),2.54,BPD,5,barriosprieto2013
16,29(1.5),3.07,BPD,5,barriosprieto2013
17,26(1.4),3.13,BPD,5,barriosprieto2013
18,40(2.1),3.81,BPD,5,barriosprieto2013
19,66(3.6),4.07,BPD,5,barriosprieto2013
20,89(4.8),4.36,BPD,5,barriosprieto2013
21,100(5.4),4.58,BPD,5,barriosprieto2013
22,118(6.4),4.96,BPD,5,barriosprieto2013
23,89(4.8),5.220000000000001,BPD,5,barriosprieto2013
24,82(4.4),5.4399999999999995,BPD,5,barriosprieto2013
25,69(3.7),5.720000000000001,BPD,5,barriosprieto2013
26,60(3.2),6.3,BPD,5,barriosprieto2013
27,55(3.0),6.529999999999999,BPD,5,barriosprieto2013
28,56(3.0),6.720000000000001,BPD,5,barriosprieto2013
29,70(3.8),6.95,BPD,5,barriosprieto2013
30,71(3.8),7.18,BPD,5,barriosprieto2013
31,91(4.9),7.5200000000000005,BPD,5,barriosprieto2013
32,78(4.2),7.65,BPD,5,barriosprieto2013
33,70(3.8),7.95,BPD,5,barriosprieto2013
34,90(4.9),7.959999999999999,BPD,5,barriosprieto2013
35,70(3.8),8.3,BPD,5,barriosprieto2013
36,80(4.3),8.440000000000001,BPD,5,barriosprieto2013
37,85(4.6),8.59,BPD,5,barriosprieto2013
38,78(4.2),8.76,BPD,5,barriosprieto2013
39,42(2.2),8.85,BPD,5,barriosprieto2013
40,17(0.9),9.07,BPD,5,barriosprieto2013
41,9(0.4),9.16,BPD,5,barriosprieto2013
14,67(3.6),2.67,BPD,50,barriosprieto2013
15,36(1.9),3.05,BPD,50,barriosprieto2013
16,29(1.5),3.55,BPD,50,barriosprieto2013
17,26(1.4),3.85,BPD,50,barriosprieto2013
18,40(2.1),4.2299999999999995,BPD,50,barriosprieto2013
19,66(3.6),4.59,BPD,50,barriosprieto2013
20,89(4.8),4.79,BPD,50,barriosprieto2013
21,100(5.4),5.12,BPD,50,barriosprieto2013
22,118(6.4),5.39,BPD,50,barriosprieto2013
23,89(4.8),5.71,BPD,50,barriosprieto2013
24,82(4.4),5.9799999999999995,BPD,50,barriosprieto2013
25,69(3.7),6.33,BPD,50,barriosprieto2013
26,60(3.2),6.62,BPD,50,barriosprieto2013
27,55(3.0),7.0200000000000005,BPD,50,barriosprieto2013
28,56(3.0),7.2,BPD,50,barriosprieto2013
29,70(3.8),7.6,BPD,50,barriosprieto2013
30,71(3.8),7.859999999999999,BPD,50,barriosprieto2013
31,91(4.9),8.03,BPD,50,barriosprieto2013
32,78(4.2),8.26,BPD,50,barriosprieto2013
33,70(3.8),8.39,BPD,50,barriosprieto2013
34,90(4.9),8.65,BPD,50,barriosprieto2013
35,70(3.8),8.8,BPD,50,barriosprieto2013
36,80(4.3),9.07,BPD,50,barriosprieto2013
37,85(4.6),9.1,BPD,50,barriosprieto2013
38,78(4.2),9.23,BPD,50,barriosprieto2013
39,42(2.2),9.34,BPD,50,barriosprieto2013
40,17(0.9),9.459999999999999,BPD,50,barriosprieto2013
41,9(0.4),9.4,BPD,50,barriosprieto2013
14,67(3.6),3.05,BPD,95,barriosprieto2013
15,36(1.9),3.63,BPD,95,barriosprieto2013
16,29(1.5),3.91,BPD,95,barriosprieto2013
17,26(1.4),4.3,BPD,95,barriosprieto2013
18,40(2.1),4.79,BPD,95,barriosprieto2013
19,66(3.6),4.91,BPD,95,barriosprieto2013
20,89(4.8),5.25,BPD,95,barriosprieto2013
21,100(5.4),5.62,BPD,95,barriosprieto2013
22,118(6.4),5.79,BPD,95,barriosprieto2013
23,89(4.8),6.16,BPD,95,barriosprieto2013
24,82(4.4),6.590000000000001,BPD,95,barriosprieto2013
25,69(3.7),6.659999999999999,BPD,95,barriosprieto2013
26,60(3.2),7.2700000000000005,BPD,95,barriosprieto2013
27,55(3.0),7.37,BPD,95,barriosprieto2013
28,56(3.0),8.02,BPD,95,barriosprieto2013
29,70(3.8),8.11,BPD,95,barriosprieto2013
30,71(3.8),8.24,BPD,95,barriosprieto2013
31,91(4.9),8.42,BPD,95,barriosprieto2013
32,78(4.2),8.85,BPD,95,barriosprieto2013
33,70(3.8),9.02,BPD,95,barriosprieto2013
34,90(4.9),9.309999999999999,BPD,95,barriosprieto2013
35,70(3.8),9.370000000000001,BPD,95,barriosprieto2013
36,80(4.3),9.440000000000001,BPD,95,barriosprieto2013
37,85(4.6),9.559999999999999,BPD,95,barriosprieto2013
38,78(4.2),9.67,BPD,95,barriosprieto2013
39,42(2.2),9.78,BPD,95,barriosprieto2013
40,17(0.9),10.01,BPD,95,barriosprieto2013
41,9(0.4),9.73,BPD,95,barriosprieto2013
14,67(3.6),8.45,HC,5,barriosprieto2013
15,36(1.9),9.59,HC,5,barriosprieto2013
16,29(1.5),10.78,HC,5,barriosprieto2013
17,26(1.4),11.72,HC,5,barriosprieto2013
18,40(2.1),13.940000000000001,HC,5,barriosprieto2013
19,66(3.6),15.030000000000001,HC,5,barriosprieto2013
20,89(4.8),16.3,HC,5,barriosprieto2013
21,100(5.4),17.25,HC,5,barriosprieto2013
22,118(6.4),18.669999999999998,HC,5,barriosprieto2013
23,89(4.8),19.509999999999998,HC,5,barriosprieto2013
24,82(4.4),20.369999999999997,HC,5,barriosprieto2013
25,69(3.7),21.580000000000002,HC,5,barriosprieto2013
26,60(3.2),23.02,HC,5,barriosprieto2013
27,55(3.0),24.39,HC,5,barriosprieto2013
28,56(3.0),24.78,HC,5,barriosprieto2013
29,70(3.8),25.77,HC,5,barriosprieto2013
30,71(3.8),26.639999999999997,HC,5,barriosprieto2013
31,91(4.9),27.79,HC,5,barriosprieto2013
32,78(4.2),28.630000000000003,HC,5,barriosprieto2013
33,70(3.8),29.18,HC,5,barriosprieto2013
34,90(4.9),29.589999999999996,HC,5,barriosprieto2013
35,70(3.8),30.45,HC,5,barriosprieto2013
36,80(4.3),30.869999999999997,HC,5,barriosprieto2013
37,85(4.6),31.439999999999998,HC,5,barriosprieto2013
38,78(4.2),32.0,HC,5,barriosprieto2013
39,42(2.2),32.28,HC,5,barriosprieto2013
40,17(0.9),32.29,HC,5,barriosprieto2013
41,9(0.4),33.13,HC,5,barriosprieto2013
14,67(3.6),9.93,HC,50,barriosprieto2013
15,36(1.9),11.209999999999999,HC,50,barriosprieto2013
16,29(1.5),12.78,HC,50,barriosprieto2013
17,26(1.4),13.669999999999998,HC,50,barriosprieto2013
18,40(2.1),15.52,HC,50,barriosprieto2013
19,66(3.6),16.64,HC,50,barriosprieto2013
20,89(4.8),17.64,HC,50,barriosprieto2013
21,100(5.4),18.89,HC,50,barriosprieto2013
22,118(6.4),19.86,HC,50,barriosprieto2013
23,89(4.8),21.22,HC,50,barriosprieto2013
24,82(4.4),22.1,HC,50,barriosprieto2013
25,69(3.7),23.4,HC,50,barriosprieto2013
26,60(3.2),24.29,HC,50,barriosprieto2013
27,55(3.0),25.6,HC,50,barriosprieto2013
28,56(3.0),26.360000000000003,HC,50,barriosprieto2013
29,70(3.8),27.68,HC,50,barriosprieto2013
30,71(3.8),28.35,HC,50,barriosprieto2013
31,91(4.9),28.98,HC,50,barriosprieto2013
32,78(4.2),29.98,HC,50,barriosprieto2013
33,70(3.8),30.369999999999997,HC,50,barriosprieto2013
34,90(4.9),31.139999999999997,HC,50,barriosprieto2013
35,70(3.8),31.93,HC,50,barriosprieto2013
36,80(4.3),32.32,HC,50,barriosprieto2013
37,85(4.6),32.53,HC,50,barriosprieto2013
38,78(4.2),33.1,HC,50,barriosprieto2013
39,42(2.2),33.25,HC,50,barriosprieto2013
40,17(0.9),33.83,HC,50,barriosprieto2013
41,9(0.4),33.57,HC,50,barriosprieto2013
14,67(3.6),11.15,HC,95,barriosprieto2013
15,36(1.9),12.98,HC,95,barriosprieto2013
16,29(1.5),14.14,HC,95,barriosprieto2013
17,26(1.4),15.49,HC,95,barriosprieto2013
18,40(2.1),17.869999999999997,HC,95,barriosprieto2013
19,66(3.6),18.09,HC,95,barriosprieto2013
20,89(4.8),19.3,HC,95,barriosprieto2013
21,100(5.4),20.66,HC,95,barriosprieto2013
22,118(6.4),21.1,HC,95,barriosprieto2013
23,89(4.8),22.29,HC,95,barriosprieto2013
24,82(4.4),23.82,HC,95,barriosprieto2013
25,69(3.7),24.57,HC,95,barriosprieto2013
26,60(3.2),26.71,HC,95,barriosprieto2013
27,55(3.0),27.1,HC,95,barriosprieto2013
28,56(3.0),28.82,HC,95,barriosprieto2013
29,70(3.8),29.48,HC,95,barriosprieto2013
30,71(3.8),29.85,HC,95,barriosprieto2013
31,91(4.9),30.3,HC,95,barriosprieto2013
32,78(4.2),31.43,HC,95,barriosprieto2013
33,70(3.8),32.35,HC,95,barriosprieto2013
34,90(4.9),32.910000000000004,HC,95,barriosprieto2013
35,70(3.8),33.08,HC,95,barriosprieto2013
36,80(4.3),33.519999999999996,HC,95,barriosprieto2013
37,85(4.6),34.089999999999996,HC,95,barriosprieto2013
38,78(4.2),34.45,HC,95,barriosprieto2013
39,42(2.2),34.589999999999996,HC,95,barriosprieto2013
40,17(0.9),34.96,HC,95,barriosprieto2013
41,9(0.4),34.18,HC,95,barriosprieto2013
14,67(3.6),6.720000000000001,AC,5,barriosprieto2013
15,36(1.9),7.9799999999999995,AC,5,barriosprieto2013
16,29(1.5),9.55,AC,5,barriosprieto2013
17,26(1.4),10.05,AC,5,barriosprieto2013
18,40(2.1),12.07,AC,5,barriosprieto2013
19,66(3.6),12.48,AC,5,barriosprieto2013
20,89(4.8),13.919999999999998,AC,5,barriosprieto2013
21,100(5.4),14.919999999999998,AC,5,barriosprieto2013
22,118(6.4),16.11,AC,5,barriosprieto2013
23,89(4.8),17.11,AC,5,barriosprieto2013
24,82(4.4),18.18,AC,5,barriosprieto2013
25,69(3.7),19.3,AC,5,barriosprieto2013
26,60(3.2),20.77,AC,5,barriosprieto2013
27,55(3.0),21.93,AC,5,barriosprieto2013
28,56(3.0),22.73,AC,5,barriosprieto2013
29,70(3.8),23.05,AC,5,barriosprieto2013
30,71(3.8),25.05,AC,5,barriosprieto2013
31,91(4.9),25.34,AC,5,barriosprieto2013
32,78(4.2),26.85,AC,5,barriosprieto2013
33,70(3.8),28.27,AC,5,barriosprieto2013
34,90(4.9),28.6,AC,5,barriosprieto2013
35,70(3.8),29.639999999999997,AC,5,barriosprieto2013
36,80(4.3),30.03,AC,5,barriosprieto2013
37,85(4.6),31.0,AC,5,barriosprieto2013
38,78(4.2),31.580000000000002,AC,5,barriosprieto2013
39,42(2.2),32.58,AC,5,barriosprieto2013
40,17(0.9),32.769999999999996,AC,5,barriosprieto2013
41,9(0.4),33.14,AC,5,barriosprieto2013
14,67(3.6),8.209999999999999,AC,50,barriosprieto2013
15,36(1.9),9.23,AC,50,barriosprieto2013
16,29(1.5),10.790000000000001,AC,50,barriosprieto2013
17,26(1.4),11.99,AC,50,barriosprieto2013
18,40(2.1),13.35,AC,50,barriosprieto2013
