week,value,parameter,percentile,paper
13.0,-8.28445294581729e-6,FL_HC,50,Combs (1993)
14.0,-1.0630765478194108e-5,FL_HC,50,Combs (1993)
15.0,-1.1371122281559529e-5,FL_HC,50,Combs (1993)
16.0,-1.1863093193688757e-5,FL_HC,50,Combs (1993)
17.0,-1.1866204445159701e-5,FL_HC,50,Combs (1993)
18.0,-1.348228481550415e-5,FL_HC,50,Combs (1993)
19.0,-1.3488154644442582e-5,FL_HC,50,Combs (1993)
20.0,-1.3922273923494257e-5,FL_HC,50,Combs (1993)
21.0,-1.4413959385017272e-5,FL_HC,50,Combs (1993)
22.0,-1.4955218218589584e-5,FL_HC,50,Combs (1993)
23.0,-1.5232126827157084e-5,FL_HC,50,Combs (1993)
24.0,-1.4914384682857574e-5,FL_HC,50,Combs (1993)
25.0,-1.5402875498094102e-5,FL_HC,50,Combs (1993)
26.0,-1.5482421538969538e-5,FL_HC,50,Combs (1993)
27.0,-1.6459853009330423e-5,FL_HC,50,Combs (1993)
28.0,-1.5436172990458908e-5,FL_HC,50,Combs (1993)
29.0,-1.6016049023289426e-5,FL_HC,50,Combs (1993)
30.0,-1.559883951324606e-5,FL_HC,50,Combs (1993)
31.0,-1.5822565049309468e-5,FL_HC,50,Combs (1993)
32.0,-1.612507979383249e-5,FL_HC,50,Combs (1993)
33.0,-1.6985499855037265e-5,FL_HC,50,Combs (1993)
34.0,-1.635860772619103e-5,FL_HC,50,Combs (1993)
35.0,-1.558587294636151e-5,FL_HC,50,Combs (1993)
36.0,-1.5486021250719047e-5,FL_HC,50,Combs (1993)
37.0,-1.5361529220353274e-5,FL_HC,50,Combs (1993)
38.0,-1.556325568643105e-5,FL_HC,50,Combs (1993)
39.0,-1.54780207117931e-5,FL_HC,50,Combs (1993)
40.0,-1.5365986958565306e-5,FL_HC,50,Combs (1993)
41.0,-1.6349526783230795e-5,FL_HC,50,Combs (1993)
42.0,-1.5117946118016019e-5,FL_HC,50,Combs (1993)
43.0,-8.293604746829697e-6,FL_HC,50,Combs (1993)
44.0,-8.916077358553674e-6,FL_HC,50,Combs (1993)
10.0,0.025402108374803375,AC_T,50,Combs (1993)
11.0,0.04535370768836295,AC_T,50,Combs (1993)
12.0,0.11017370761238808,AC_T,50,Combs (1993)
13.0,0.1486474052529427,AC_T,50,Combs (1993)
14.0,0.18935297077311955,AC_T,50,Combs (1993)
15.0,0.2590807612943784,AC_T,50,Combs (1993)
16.0,0.2840210092987629,AC_T,50,Combs (1993)
17.0,0.31180842165820505,AC_T,50,Combs (1993)
18.0,0.34875174510044266,AC_T,50,Combs (1993)
19.0,0.3757974028931315,AC_T,50,Combs (1993)
20.0,0.3923802391537632,AC_T,50,Combs (1993)
21.0,0.39692244544888083,AC_T,50,Combs (1993)
22.0,0.4209439141714309,AC_T,50,Combs (1993)
23.0,0.43883184057005403,AC_T,50,Combs (1993)
24.0,0.4500135635419633,AC_T,50,Combs (1993)
25.0,0.4591680241137368,AC_T,50,Combs (1993)
26.0,0.47233186298603486,AC_T,50,Combs (1993)
27.0,0.4720007396742715,AC_T,50,Combs (1993)
28.0,0.494381752993317,AC_T,50,Combs (1993)
29.0,0.511888518624636,AC_T,50,Combs (1993)
30.0,0.506377506678221,AC_T,50,Combs (1993)
31.0,0.5385388902369628,AC_T,50,Combs (1993)
32.0,0.5375802043653448,AC_T,50,Combs (1993)
33.0,0.5491348122856846,AC_T,50,Combs (1993)
34.0,0.5652216353037268,AC_T,50,Combs (1993)
35.0,0.5877993423289865,AC_T,50,Combs (1993)
36.0,0.6000115283808564,AC_T,50,Combs (1993)
37.0,0.6158392615893548,AC_T,50,Combs (1993)
38.0,0.6324383669529184,AC_T,50,Combs (1993)
39.0,0.6472451327106005,AC_T,50,Combs (1993)
40.0,0.6283128927240694,AC_T,50,Combs (1993)
41.0,0.6675241027365035,AC_T,50,Combs (1993)
42.0,0.6321363223038307,AC_T,50,Combs (1993)
43.0,0.682853254321153,AC_T,50,Combs (1993)
44.0,0.7960390004915378,AC_T,50,Combs (1993)
10.0,0.031243646389725464,FL_T,50,Combs (1993)
11.0,0.05523312592597035,FL_T,50,Combs (1993)
12.0,0.12910444750272412,FL_T,50,Combs (1993)
13.0,0.13750371808551443,FL_T,50,Combs (1993)
14.0,0.14015157311414925,FL_T,50,Combs (1993)
15.0,0.1460995798837925,FL_T,50,Combs (1993)
16.0,0.1502229633536174,FL_T,50,Combs (1993)
17.0,0.14220627236500114,FL_T,50,Combs (1993)
18.0,0.13324957119705316,FL_T,50,Combs (1993)
19.0,0.12792049420746973,FL_T,50,Combs (1993)
20.0,0.13232411948710102,FL_T,50,Combs (1993)
21.0,0.12981841216543438,FL_T,50,Combs (1993)
22.0,0.13125624795279456,FL_T,50,Combs (1993)
23.0,0.12539510922713906,FL_T,50,Combs (1993)
24.0,0.11444673019509775,FL_T,50,Combs (1993)
25.0,0.11714018792927713,FL_T,50,Combs (1993)
26.0,0.11509962951259334,FL_T,50,Combs (1993)
27.0,0.11751480046631345,FL_T,50,Combs (1993)
28.0,0.10935629987557798,FL_T,50,Combs (1993)
29.0,0.10933952527546022,FL_T,50,Combs (1993)
30.0,0.10960548279553774,FL_T,50,Combs (1993)
31.0,0.11047195525083708,FL_T,50,Combs (1993)
32.0,0.1107303979810805,FL_T,50,Combs (1993)
33.0,0.11574419134361469,FL_T,50,Combs (1993)
34.0,0.11113258365462196,FL_T,50,Combs (1993)
35.0,0.1069864664894007,FL_T,50,Combs (1993)
36.0,0.10676240167566328,FL_T,50,Combs (1993)
37.0,0.10909151955790965,FL_T,50,Combs (1993)
38.0,0.1148396081063332,FL_T,50,Combs (1993)
39.0,0.11322554410238682,FL_T,50,Combs (1993)
40.0,0.11520136301700834,FL_T,50,Combs (1993)
41.0,0.1036356686670549,FL_T,50,Combs (1993)
42.0,0.11499250858124613,FL_T,50,Combs (1993)
43.0,0.1585120429759751,FL_T,50,Combs (1993)
44.0,0.12883457617370603,FL_T,50,Combs (1993)
10.0,0.9439475278303507,HC_T,50,Combs (1993)
11.0,0.9003094277522333,HC_T,50,Combs (1993)
12.0,0.769703607420196,HC_T,50,Combs (1993)
13.0,0.7202579377143868,HC_T,50,Combs (1993)
14.0,0.6722521847616169,HC_T,50,Combs (1993)
15.0,0.5979286051329005,HC_T,50,Combs (1993)
16.0,0.5689203502114932,HC_T,50,Combs (1993)
17.0,0.548564177439234,HC_T,50,Combs (1993)
18.0,0.5192035281878662,HC_T,50,Combs (1993)
19.0,0.49739833228107844,HC_T,50,Combs (1993)
20.0,0.4771225650608102,HC_T,50,Combs (1993)
21.0,0.4750666883928299,HC_T,50,Combs (1993)
22.0,0.4495420483121429,HC_T,50,Combs (1993)
23.0,0.43717821500896137,HC_T,50,Combs (1993)
24.0,0.43676317264751496,HC_T,50,Combs (1993)
25.0,0.4248655638115678,HC_T,50,Combs (1993)
26.0,0.4136381231370291,HC_T,50,Combs (1993)
27.0,0.41159523412810467,HC_T,50,Combs (1993)
28.0,0.39729668974202564,HC_T,50,Combs (1993)
29.0,0.379744185985038,HC_T,50,Combs (1993)
30.0,0.38498057434416644,HC_T,50,Combs (1993)
31.0,0.3519634419101121,HC_T,50,Combs (1993)
32.0,0.352563669294895,HC_T,50,Combs (1993)
33.0,0.33595554017622775,HC_T,50,Combs (1993)
34.0,0.3244279973485782,HC_T,50,Combs (1993)
35.0,0.30605850158603737,HC_T,50,Combs (1993)
36.0,0.29404113161221573,HC_T,50,Combs (1993)
37.0,0.2759467525794041,HC_T,50,Combs (1993)
38.0,0.25366392483382144,HC_T,50,Combs (1993)
39.0,0.24043754344581575,HC_T,50,Combs (1993)
40.0,0.25747634104496403,HC_T,50,Combs (1993)
41.0,0.22947784721826917,HC_T,50,Combs (1993)
42.0,0.2536278760842777,HC_T,50,Combs (1993)
43.0,0.1638741622573384,HC_T,50,Combs (1993)
44.0,0.07882929503276723,HC_T,50,Combs (1993)
10.0,0.024812058578910567,AC,5,Combs (1993)
11.0,0.044462577070530494,AC,5,Combs (1993)
12.0,0.10119964274035963,AC,5,Combs (1993)
13.0,0.14224946736393693,AC,5,Combs (1993)
14.0,0.18761217260464957,AC,5,Combs (1993)
15.0,0.2559912379523412,AC,5,Combs (1993)
16.0,0.28087796095406914,AC,5,Combs (1993)
17.0,0.3092522508256102,AC,5,Combs (1993)
18.0,0.3475751686787622,AC,5,Combs (1993)
19.0,0.3747110187054931,AC,5,Combs (1993)
20.0,0.39058488159893556,AC,5,Combs (1993)
21.0,0.3951477890682512,AC,5,Combs (1993)
22.0,0.41923655429479634,AC,5,Combs (1993)
23.0,0.43746375708098356,AC,5,Combs (1993)
24.0,0.44882876356055895,AC,5,Combs (1993)
25.0,0.4580333021978151,AC,5,Combs (1993)
26.0,0.47130237341010106,AC,5,Combs (1993)
27.0,0.47093213441730236,AC,5,Combs (1993)
28.0,0.49338925951633594,AC,5,Combs (1993)
29.0,0.5109610123541637,AC,5,Combs (1993)
30.0,0.5054569312532409,AC,5,Combs (1993)
31.0,0.5376093640496236,AC,5,Combs (1993)
32.0,0.5367512729590631,AC,5,Combs (1993)
33.0,0.5483461098413197,AC,5,Combs (1993)
34.0,0.5644863432239489,AC,5,Combs (1993)
35.0,0.5870020759102683,AC,5,Combs (1993)
36.0,0.5992437792547458,AC,5,Combs (1993)
37.0,0.615008402518574,AC,5,Combs (1993)
